sur_id,title,sic,keyword,naics
1028,Hobby and Craft Retail,,hobbies crafts retail retailing sales,
1029,"Hobby, Toy, and Game Shops",5945,retails  retailing hobbies toys games craft kits supplies wholesale distribution distributors wholesalers video games puzzles building construction arts crafts dolls models   hobby,451120
1030,Hogs,213,pigs farming Ranching livestock farms ranches animals ,
1031,Holiday Shopping,,retail buying expenditures sales retailing decorations gifts foods drinks beverages seasonal home costumes new years valentines day st. patricks  easter mothers memorial fathers independence labor halloween thanksgiving hanukkah christmas kwanzaa july 4th retailers,
1032,Home Appliance,,appliances washers dryers refrigerators lawn mowers household ,
442580,Back to School Shopping,,kids backpacks supplies pencils pens clothes fall,
442642,Retirement Planning,,IRAs seniors 401 (k) pensions investments  ,
442643,Pay TV,,media entertainment television  tvs terrestrial cables satellites broadcasters digital analog programming  analogue dvr vod  ,
1036,Home Entertainment Software: Global,,manufacturing manufacturers education  educational gaming consoles pc personal computers games xbox nintendo playstation online sports video arcade sega,"443120, 443112, 423620"
1037,Home Fitness Equipment,,health leisure personal care households homes workout exercises treadmills motorized weight  benches sets multipurpose gyms stationary bikes abdominal exercisers elliptical cross trainers gliders riders rowing machines stair climbers steppers cross country skiers jump ropes aerobic steps spring tension heart rate monitors wrist ankle weights,
1038,Home Furnishing Retail: Global,,furniture floors coverings textiles household homes house ,"335211, 423220, 442299, 444110, 484210, 811490, 453998"
1039,Home Furnishings,5023,wholesalers wholesaling wholesalers distribution  housewares antiques china glassware earthenware lamps curtains draperies drapes drapery linens towels carpets linoleum floor coverings household,"442210, 421220"
1041,Home Furnishings and Housewares Retail,,household retailing sales,
1042,Home Furnishings: Global,,furniture floors coverings household homes textiles  retail flooring  carpets soft furnishings,"335211, 423220, 442299, 444110, 484210, 811490, 454000"
1043,Home Furniture,,household stores wholesalers wholesale distribution distributors distributing wholesaling furnitures bedsprings mattresses office furniture public parks buildings lawn,
1044,Home Hair Color,,dyes personal care coloring colorants highlighting permanents semi temporary rinses bleaches  lighteners hair care  beauty supplies cosmetics,
1045,Home Health Care Services,8082,skilled nursing medical healthcare visiting nurses terminally ill chronically disabled homecare providers services medical,621610
1046,Home Improvement and Hardware Retail,,"Construction, Building Materials & Equipment & services",
1047,Home Improvement Retail: Global,,diy buildings materials equipments do it yourself retail stores retailing,"811411, 423220, 541410"
1048,Laundry Detergents and Fabric Softeners,,detergents soaps clothes washing powder liquids tablets fabric softeners sheets bleach starch sprays pre-treaters soaks bookers home dry cleaning kits static control supplements refresheners wrinkle reducers household products,
443112,Gluten-free Foods,,flour wheat celiac ,
443157,Indoor Sports Facilities Management,, soccer complexes ice rinks volleyball courts tennis tracks basketball swimming,
1051,"Home Shopping, TV, Catalog and Internet",,retail retailing sales television tvs  internet online mail order mailorder direct selling door to door catalogs retailers,
1052,Home Telephone Products,,corded cordless phones telephones landlines land-based caller id answering machines devices analog digital consumer electronics communications,
442575,Online Beauty,,cosmetics personal care make up beauty supplies color cosmetics face foundations powders blushers rouges eyes shadows eyeliners eyebrows pencils mascaras lips lipsticks glosses pencils pots palettes beauty supplies cosmeceuticals pharmaceutical ingredients,
1055,Homebuilding,,construction buildings materials homes residential houses developments contracting apartments estates  properties townhouses condominiums condos real estate contractors,
1058,Homebuilding: Global,,buildings contracting construction residential  houses apartments estates homes developments prefabs semi-fixed semi fixed developing developers  contractors   materials equipment homes prefabricated manufactured,"236115, 236119"
1059,Honeymoon Travel,,leisure travel tourism holiday trip newly married newlyweds married couples,
1060,Horses and Other Equines,272,horses animals livestock farming ranching farms,
1061,"Hosiery, Not Elsewhere Classified",2252,sheer stockings  mills knitting dyeing finishing  anklets leg warmers socks slippers tights apparel clothing,"315111, 315119"
1062,Hospital and Medical Service Plans,6324,managed care insurance subscription fees plan sponsors direct health carriers insurance employee benefit funds reinsurance  providers services health care healthcare ,"524114, 525190, 524130"
1063,Hospitality and Tourism,,hotels motels travel  leisure,
1064,Hospitals,,healthcare  - providers & services health care,
1065,Hot Drinks,,coffees teas  beverages nonalcoholic non-alcoholic,"311999, 311991"
1066,Hot Drinks: Global,,coffees teas  beverages nonalcoholic non-alcoholic,
1067,Hotel/Gaming,,travel leisure casinos hotels lodging entertainment hospitality slots resorts inns motels lottery lotteries wagering betting gambling ,
1068,Hotels,,lodgings  accommodations  hospitality  service travel,
1069,Hotels Accommodations,,lodgings  accommodations  hospitality  service travel,
1070,Hotels and Motels,,accommodations hospitality lodging travel,"721110, 333319, 423849"
1072,Hotels and Motels: Global,,accommodations hospitality lodging travel,"721110, 333319, 423850"
1073,"Hotels, Resorts and Cruise Lines: Global",,accommodation hospitality cruiseships  ships  lodging travel cruises,721110
1074,"Hotels, Restaurants and Leisure: Global",,accommodation hospitality tourism travel  lodging casinos gaming resorts cruiseships ships cruises  foods beverages gambling gaming lines  leisure facilities,"721110, 333319, 42850"
1075,"House Furnishings, Except Curtains and Draperies",2392,manufacturing household blankets bedspreads sheets tablecloths towels shower curtains mills textiles home,"314911, 339940, 314129"
1076,House Slippers,3142,slipper manufacturing apparel clothing,316212
1077,Household and Personal Products: Global,,fragrances perfumes hair makeup make-up oral  hygiene skincare air fresheners bleachs dishwashing detergents furniture polish cleaners insecticides textiles washing toiletries toilet scouring pads personal care household products hygiene,"532299, 423220, 446199, 812199"
1078,Household Appliance Stores,5722,retail sales retailing electric gas refrigerators stoves irons percolators hot plates sewing machines vacuum cleaners radios televisions tvs  appliances,443111
1079,Household Appliances,,refrigeration fridges freezers cooks microwaves ovens toasters foods processors dryers heaters vacuums dishwashers  appliances cookwares dishwashers washing washers ,"335211, 423220, 442299, 444110, 484210, 811490, 335228, 531320, 423620"
1080,"Household Appliances, Not Elsewhere Classified",3639,manufacturing water heaters dishwashers food waste disposals sewing machines disposers trash compactors floor waxes,"335212, 333298, 335228"
1081,Air Treatment,,conditioners units portable heaters humidifiers dehumidifiers cleaners purifiers central ,
1082,"Refrigerators, Freezers and Dishwashers",,garbage disposals portable built in compact standard size by side bottom freezers ,
1083,"Stoves, Ranges and Ovens",,gas ranges electric  convection ovens freestanding built in surface cooking counter top over the range microwaves units,
1084,Household Appliances: Global,,refrigeration fridges freezers cooks microwaves ovens toasters foods processors dryers heaters vacuums dishwashers  appliances cookwares dishwashers washing washers ,"335211, 423220, 442299, 444110, 484210, 811490, 335228, 531320, 423621"
1085,Household Appliance Retailing,,retail retailing sales gas ranges electric convection ovens microwave automatic washing machines dryers refrigerators freezers dishwashers garbage disposers disposals air conditioners units portable heaters humidifiers dehumidifiers cleaners purifiers ,
1086,Washers and Dryers,,automatic washing machines clothes gas electric ,
1087,Household Audio and Video Equipment,3651,manufacturing manufacturers electronic audio video equipment home automobiles televisions video recorders players receivers radios amplifiers phonographs cassettes tapes players compact discs  cds  microphones speakers public address systems consumer electronics,334310
1088,Household Cleaning Products: The Consumer,,cleaners multipurpose surface disinfectants bathroom kitchen abrasives tubs tiles nonabrasive glass ammonia toilet bowel drain sprays oven appliances degreasers specialty polishes polish lime rust removers removal furniture floor waxes carpet upholstery fabric deodorizers treatments cloths wipes lavatory blocks colorants fresheners products,
1089,Household Cleaning Products: The Market,,cleaners multipurpose surface disinfectants bathroom kitchen abrasives tubs tiles nonabrasive glass ammonia toilet bowel drain sprays oven appliances degreasers specialty polishes polish lime rust removers removal furniture floor waxes carpet upholstery fabric deodorizers treatments cloths wipes lavatory blocks colorants fresheners products,
1090,Household Cooking Equipment,3631,appliances manufacturing electric nonelectric stoves ranges ovens gas household,335221
1091,Household Durables,,videos audios games consoles furnitures floors flooring textiles construction residential apartments estates developments prefabs semifixed semi-fixed refrigeration appliances fridges freezers cooks washing washers heat vacuums cleaning cleaners dishes dish cookwares bakewares dinnerwares beveragewares flatware cutlery households durables furnishings home appliances major minor washing machines dryers ranges refrigerators microwave ovens air conditioners vacuum cleaners food processors breadmakers coffee machines tools hammers screwdrivers electric powered drills sanders saws,
1092,Household Durables: Global,,consumer electronics home furnishings households homebuilding appliances housewares specialties videos audios games consoles furniture floor coverings flooring textiles residential construction apartment blocks housing estates individual home developments prefabs prefabricated houses semi-fixed manufactured homes refrigeration cooking washing heaters vacuum dishwashers stoves ranges ovens freezers dryers cookware bakeware dinnerware beverageware flatware cutlery knives forks spoons dished plates pots pans glasses stemware ,"532299, 423990, 423220  nacis"
1093,"Household Furniture, Not Elsewhere Classified",2519,manufacturing reed rattan wicker plastics fiberglass furnitures cabinets ,337125
1094,Household Laundry Equipment,3633,manufacturing  washing machines dryers ironers coin operated  washing  appliances,335224
1095,Household Linens,,sheets towels pillowcases mattress pads comforters bedspreads pillows quilts blankets bedding linens towels washcloths rugs toilet covers napkins placemats place mats  runners tablecloths textiles fabrics dishcloths potholders oven mitts household furnishings,
1096,Household Nondurables,,fragrances perfumes hair makeup make-up oral  hygiene skin fresheners bleachs dishwashers polishes polishs cleaners insecticides textiles washing toiletries personal care households non-durables nondurables personal care soaps detergents bleaches polishes sanitation goods trash bags cleansing cleaning cosmetics toothpastes shampoos body washes fragrances OTC medications diapers feminine hygiene health beauty,
1097,Household Paper Products,,household products toilet tissues papers towels facial napkins moistened wipes scent integrated recycled fragrances,
1098,Household Products,,households baking soda laundry detergents deodorizers toothpastes deodorants cleaning bathrooms kitchens toiletries cleansers soaps shaving creams gels battery batteries razors personal care products diapers tissues paper towels glassware plates bowls glasses mugs storage containers tupperware shampoos lawns grass cleaners lubricants candles ,
1100,Household Products: Global,,air fresheners bleach bleaches cleaners dishwashing detergent soaps furniture polish cleaners insecticides scouring pads textile washing toilet care bathroom ,532299
1101,Household Refrigerators and Home and Farm Freezers,3632,ice box manufacturing households farms  appliances,335222
1102,Household Vacuum Cleaners,3635,manufacturing vacuums household appliances,335212
1103,Housewares and Specialties: Global,,cookware bakeware dinnerware beverageware flatware cutlery  dishes plates glasses pots pans forks spoons knives silverware ,"423990, 423220"
1104,Human Resources,,labor jobs employment hiring staffing hires temporary services permanent recruiters consulting hr executive search outsourcing ,
1105,Human Resources and Employment Services: Global,,search personnel temporary staffing placements searches training corporate  call centers  permanent business support ," 541612, 923130, 561422"
1106,Hunting and Trapping and Game Propagation,971,commercial preserves furs wild caught ranch farmed pelts farming agricultural agriculture,114210
1107,Hypermarkets and Super Centers: Global,,retail  retailing  super stores supermarkets hypermarkets superstores supercenters markets centers retailers,"452910, 453998 niacs"
441463,Ice Cream,,"foods frozen desserts yogurts artisinals dairy impulse, take-home",
1110,Ice Cream and Frozen Desserts,2024,yogurt ice milks ices sherbets custards mellorines tofu pops desserts foods,311520
1111,Ice Cream: Global,,"foods frozen desserts yogurts artisinals dairy impulse, take-home","311511, 311514, 424430, 311520, 311813"
1112,Imported Beer,,alcohols alcoholic beverages beers ales,
441494,Banks and Credit Unions,,bankers banks finances financials financing lenders loans lending,
1114,In Vitro and in Vivo Diagnostic Substances,2835,pharmaceutical preparation manufacturing test tube body  genetic research drugs biotechnology,"325412, 325413"
1115,Inbound Tourism,,travel non-resident holiday vacation study medical sport personal business  VFR   leisure,
1116,Independent Power Producers and Energy Traders: Global,,electric electricity generation electrical non utility electricity  power natural gas fuels petroleums generation,
1117,Individual and Family Social Services,8322,counseling welfare referral services refugees disasters temporary relief families aid rent supplements low income food stamps casework child youth services housing emergency community shelters public assistance state local day care adult meals home delivered homemaking big brother sister adoption crisis centers self help parole offices probation public administration,"624110, 624210, 624229, 624230, 624120, 624221, 922150, 624190"
1118,Industrial and Commercial Fans and Blowers and Air Purification Equipment,3564,manufacturing exhaust ventilating attic duct collection air purification heating conditioning gas cleaning,"333411, 333412"
1119,"Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified",3599,motor vehicle part manufacturing repairing repair carnival amusement rides catapults sludge tables flexible tubes hoses weather vanes non-vehicle engine parts leak detectors grinding castings boiler tube cleaners accessories,336399
1120,Industrial and Personal Service Paper,5113,wholesalers distribution distributing distributors wholesaling wrapping coarse paperboard papers disposable plastics bags boxes dishes eating utensils napkins shipping supplies corrugated solid fiber cans drums pulp goods pressure sensitive tape food containers towels,422130
441493,Bakeries,,snacks doughnuts bagels breads cakes cookies pastries pretzels pies bakers retailing sales,
1122,Industrial Gases,2813,manufacturing organic inorganic acetylene argon carbon dioxide helium hydrogen neon nitrogen nitrous oxide oxygen,325120
1123,Industrial Gases: Global,,gas chemicals materials inorganics manufacturing production ,"221210, 454312, 325120"
441492,Aviation Services,,planes aerospace  airplanes air planes,
1125,"Industrial Inorganic Chemicals, Not Elsewhere Classified",2819,manufacturing industrial inorganic alum ammonium bleaches sodium calcium hypochlorite hydrazine hydrochloric acid hydrogen peroxide inorganic sodum compounds sulfuric acids alumina refining inorganic dyes pigments chemicals ,"325998, 331311, 325131, 325188"
1126,"Industrial Instruments for Measurement, Display, and Control of Process Variables and Related Produc",3823,cellulosic manmade fiber manufacturing measuring displaying indicating recording transmitting control process mechanically pneumatically electronically electrically temperature humidity pressure vacuum combustion flow level viscosity density sequence time interval motion rotation machinery equipment,334513
1127,Industrial Launderers,7218,laundered dry cleaned uniforms clothing protective apparel flame heat resistant clean room mats rugs dust control services accessories machinery equipment,812332
1128,Industrial Machinery and Equipment,5084,wholesalers distribution distributing distributors wholesaling chainsaws citrus processing conveyors cranes derricks diesel engines elevators ladders lift trucks machines machinist tools oil refining packing paint spray wood pulp shoes smelting welding pumps pumping winches accessories,421830
1129,Industrial Machinery and Equipment Manufacturing,,,
1130,Industrial Machinery,,industrial machines engines turbines metalworks plastics woods   electrical equipment pumps valves automation moto motors actuator actuators compressor compressors,
1131,Industrial Machinery: Global,,industrial machines engines turbines metalworks plastics woods equipment machinery accessories,"333999, 333298, 333319"
1132,Industrial Manufacturing,,Industrial Machinery & Equipment and Accessories,
441491,Automotive Repair Shops,,Automotives Mechanical  Electrical Repairs Maintenance autos automobiles cars carburetors brakes front-end front end alignment radiator autos motor vehicles parts,
1134,"Industrial Organic Chemicals, Not Elsewhere Classified",2869,petrochemicals manufacturing  chemicals ethyl alcohol industrial gas ,"325110, 325188, 325193, 325120, 325199"
1135,Industrial Patterns,3543,manufacturing patternmaking metals ornaments tools parts cutlery architectural metalworking pipes valves fittings ,332997
1136,Industrial Process Furnaces and Ovens,3567,manufacturing induction dielectric heating equipment machinery accessories,333994
1137,Industrial Sand,1446,metals mining sand pits dredges washing screening glass fracturing abrasive molding,212322
1138,Industrial Services,,facility services contractors textiles rentals laundry petroleums gasolines gas fuels pipelines real estate houses homes logistics freight trucking railroads customers marketing parking uniforms billing consulting records documents storage contracting pest termites rodents travel airlines tickets outsourcing planes ,
1139,Industrial Supplies,5085,machinery equipment wholesalers wholesaling distribution distributing distributors abrasives bearings diamonds printers inks refractory ropes valves fittings bottles crates drums metal pails equipment machinery accessories,"421830, 421840"
1140,"Industrial Trucks, Tractors, Trailers, and Stackers",3537,machinery manufacturing fabricated metal products industrial equipment machinery accessories,"333924, 332999, 332439"
1141,Industrial Valves,3491,manufacturing industrial equipment machinery accessories,332911
1142,Infantswear,,apparel baby clothing infants childrens dresses sets pants shorts play  sweaters nightwear pajamas sleepwear boys girls,
1143,Infantswear: Global,,apparel baby clothing infants childrens dresses sets pants shorts play  sweaters nightwear pajamas sleepwear boys girls,
1144,Information Retrieval Services,7375,on-line online contract fee basis primary electronic data distribution search engines technology internet web,514191
1145,Information Services,,technology web internet providers research online searching on-line searching ,
1146,Information Technology Services,,technologies,
443121,Online Household Furniture Sales,,furniture floors coverings textiles household homes house ,
1148,Ingredient trends,,foods low calorie sweeteners aspartame acesulfame potassium ace-k erythritol isomalt lactitol maltitol mannitol sorbitol sucralose splenda stevia xylitol vitamins minerals vitamin a c b folic acid e calcium iron functional fiber omega-3 prebiotics probiotics flaxseeds ginseng ginkgos guarana taurine  modified processed,
441546,Consumer Finance,,banks banking finances financials financing lending loans services lenders consumers bankers nonmortgage ,
441545,Consumer Electronics Stores,,audio videos games consumers consoles hifi cassette cds minidisks mp3s recorders players stereos radios personal crts flat panel television tvs videocassettes dvds camcorders cameras digital set top boxes games consoles hand held handheld ,
1152,Inorganic Pigments,2816,dyes manufacturing carbons black white  chemicals,"325131, 325182"
441490,Automobile Rental and Leasing,,automotives autos automobiles cars renting rentals motor vehicles short term private hire  passenger leasing leased leases,
1154,"Installation or Erection of Building Equipment, Not Elsewhere Classified",1796,construction building materials machinery installations erection dismantling repairs conveyor systems dumbwaiters dust collecting elevators incinerators industrials power generation devices revolving doors vacuum cleaning systems,235950
1155,In-store Bakeries,,foods retail cakes cookies baked goods supermarkets mass merchandisers club stores donuts muffins isbs retailing foods,
1156,Instruments for Measuring and Testing of Electricity and Electrical Signals,3825,manufacturing voltmeters ammeters wattmeters semiconductor tests circuit testers industrial equipment machinery accessories,"334416, 334515"
1157,Insurance,,property casualty life ,
1159,Insurance (Life),,services underwrite underwriters agents insurers financials groups products reinsurance disability  individual  personal,
1160,Insurance (Property/Casualty),,services natural disasters underwrite underwriters accidents reinsurance insurers homes residential homeowners brokers agents,
1161,"Insurance Agents, Brokers, and Service",6411,agencies brokerages claims adjusters third party administrators  pension funds carriers retirement planning research ,"524210, 524291, 524292, 524298"
1162,Insurance Brokers: Global,,services consultant consulting reinsurance brokerages property casualty risk assessments claims administration assets employees human securitizations actuarials  underwritings management actuarial benefits resources risk ,"524292, 524298, 525190, 524114, 524128, 524210, 541612"
1163,"Insurance Carriers, Not Elsewhere Classified",6399,direct carriers federally supported financial institutions deposits  fdic federal deposit insurance corporation ,524128
1165,Insurance: Global,,services life pension non-life nonlife retirement savings social accident health property casualty annuities annuity retirement savings accident health property casualty  insurances ,
1166,Insurance: Life and Health,,services life pension non-life nonlife retirement savings social accident health property casualty long-term disability,
1167,Insurance: Property-Casualty,,services life pension non-life nonlife retirement savings social accident health property casualty long-term disability catastrophic disaster loss damages,
1168,Integrated Oil and Gas: Global,,petroleums exploration refining production energy  exploring chemicals gas marketing transportation  fuels,"221210, 454312, 324199, 424720"
1169,Integrated Telecommunications Services: Global,, fixed line  communications telecomms   telecoms ,"333319, 423850, 517212, 811213"
441612,Grocery Stores and Supermarkets,,retail stores chains pharmacy pharmacies foods retailers  drugs combos combinations supercenters superstores limited assortment independents retailing retailers,
1171,Intercity and Rural Bus Transportation,4131, rural bus lines transportation regular scheduled routes intercity ,485210
1172,Intermediate Care Facilities,8052,inpatient nursing rehabilitative services minimum continuous care healthcare health developmental disabilities providers services continuing  residential mental retardation nursing rehab,"623311, 623210, 623110"
1173,"Internal Combustion Engines, Not Elsewhere Classified",3519,motor vehicle parts manufacturing engine equipment  diesel semidiesel  stationary traction marine farm construction trucks lawn garden equipment machinery accessories industrial,"336399, 333618"
1174,International Affairs,9721,foreign governments  united nations bilateral consular diplomatic consulates diplomats embassy embassies  ambassadors  public administration,928120
1175,Internet,,retailers shopping media marketing online on-line computers web stocks financial trading electronics services providers dial-up broadband hosting auctions search engines  travels airlines entertainment dvds gifts digital commerce communications ,
1176,Internet Access,,isps services providers narrowband broadband consumers corporate web  commercial software,518111
1177,Internet Access: Global,,isps services providers narrowband broadband consumers corporate web  commercial software ,518111
1178,Internet and Catalog Retail: Global,,retail online mail orders televisions catalogs  channels web on-line sales retailing payment catalogues retailers ordering,453998
1179,Internet Auctions,,Internet software and services web online on-line,
1180,Internet Content Providers,,Internet software and services web online on-line,
1181,Internet in the US Lifestyle,,lifestyles consumer behaviors online web on line leisures hobbies gaming,
1182,Internet Music Distribution and Downloads,,Internet software and services web online on-line,
1183,Internet Retail: Global,,retail online web  on-line channels sales retailing,453998
1184,Internet Search and Navigation Services,,Internet software and services web online on-line,
441611,Graphic Design Services,,arts graphics services advertising agencies publishers business  industrial  promotional promotion ,
1186,Internet Service Providers,,isps online on-line web services,
1187,Internet Software and Services: Global,,online web address databases designs services portals search on-line  computers isps interactive registration developing marketing online interactive4 address registration construction internet design providers ,443120
1188,Internet Travel Booking,,airlines hotel car rental vacation business personal tickets cruises packages festivals theater sporting events museum admissions leisure  travel tourism,
1190,Investment Advice,6282,portfolio management financials financing finances securities commodities stocks bonds advisory money managers mutual funds  investments futures ,"523920, 523930"
1191,Investment Banking and Brokerage: Global,,banks bankers services finances financial financing savings brokers brokerages investing investments equity equities debt underwriting mergers acquisitions bonds,"522110, 523110"
1192,Investment Banking,,finances financing finacials investments invetsors investing bankers banks money managers portfolio managers assets,
1193,Investment Co.,,services funds investments securities security assets dividends bonds markets notes debt capital rates equity equities investors stocks portfolios financing financers financials ,
1194,Investment Co. (Foreign),,services funds investments securities security assets dividends bonds markets notes debt capital rates equity equities investors stocks portfolios financing financers financials international global,
1195,Investment Services,,banks banking services finances financial financing savings brokers brokerages investing investments equity equities debt underwriting mergers acquisitions bonds trading derivatives fixed income  funds hedge long-term capital management (LTCM)  risk dealers asset management securities,
1196,"Investors, Not Elsewhere Classified",6799,investment clubs finances financials financing investing commodities commodity contracts trading traders venture capital exchanges ,"523910, 523920, 523130, 523999"
1197,Irish Potatoes,134,farming farms agriculture agricultural potato  crops,111211
1198,Iron and Steel Forgings,3462,forging metals mining  ,332111
441469,Abrasives Manufacturing,,machinery equipment wholesalers wholesaling distribution distributing distributors abrasives bearings diamonds printers inks refractory ropes valves fittings bottles crates drums metal pails equipment machinery accessories,
1200,Iron Ores,1011,metals mining sinter blast furnace agglomerates,212210
1201,Irrigation Systems,4971,water supply  industrial household agricultural,221310
441610,Grain Milling,,corn sorghum grains milos producing starch syrups oils sugars byproducts gluten free meals potatos wheat refining  foods,
1203,IT Consulting and Other Services: Global,,information technology integration  services consulting  systems management development hardware maintenance support software  business,"541611, 541613, 541618, 333319, 423850"
441489,Automobile Parts Wholesale Retail,,"Motor Vehicles Manufacturing and Retail	motor vehicles cars automotives automobiles wholsaiing stores car parts",
441487,Automobile Manufacture,,automotives cars automobiles autos motor vehicles sales new light commercial trucks vans buses coaches,
441488,Automobile Parts and Accessories Manufacture,,motor vehicles repairs cars automotives automobiles vehicles tires automobile truck trucks hybrid ,
1206,IT Services: Global,,services technology information data  processing outsourcing outsourcer consulting consultants electronic business process  systems integration management business support,"333319, 423850"
1208,Jeans,,apparel clothing pants slacks denim dungarees casual,
1209,"Jewelers' Findings and Materials, and Lapidary Work",3915,jeweler's arterial manufacturing lapidaries  accessories apparel,339913
1210,Jewelry Stores,5944,retailing retail sales diamonds precious stones metals rings pins bracelets sterling plated silverware watches clocks apparel accessories retailers,448310
1211,"Jewelry, Precious Metal",3911,manufacturing cigarette cases lighters vanity compacts trimmings umbrellas canes apparel accessories,339911
1212,"Jewelry, Watches, Precious Stones, and Precious Metals",5094,wholesalers clocks coins gems pearls bullion silverware trophies apparel accessories,421940
1213,Job Training and Vocational Rehabilitation Services,8331,manpower unemployed under employed disables  upgrading job development skills training world of work counseling employee remedial retraining goodwill business support,624310
1214,Juices,,beverages vegetables fruits nectars nonalcoholic non-alcoholic,"311411, 311421"
1215,Juices: Global,,beverages vegetables fruits nectars nonalcoholic non-alcoholic,"311411, 311421"
1216,Junior Colleges and Technical Institutes,8222,academic technical courses associate degrees certificates diplomas  schools education students universities learning community vocational  Education,611210
1217,Kaolin and Ball Clay,1455,mining metals milling blays paper china slip,212324
1218,Kidney Dialysis Centers,8092,renal services providers healthcare health care medical ,621492
1219,Kid's and teen's eating habits,,foods 6 - 11 12 - 17 where when choices purchases menus diets,
1220,Kid's Lifestyles,,child childrens 6 11 attitudes money media school aspirations friends selves consumer behaviors kids,
1221,Kids’ and Teens’ Snacking,,snacks foods 6 - 11 healthy apple sauce yogurt fruit sweet cookies crackers pudding salty chips pretzels popcorn dried meats savory pizza rolls sandwiches macaroni cheese,
1222,Kitchen Appliances,,households durables fridges freezers cooking appliances cookwares microwaves ovens food processors toasters washers washing dryers dishwashers refrigeration machines clothes cooker hoods ,
1223,Kitchen Appliances: Global,,households durables fridges freezers cooking appliances cookwares microwaves ovens food processors toasters washers washing dryers dishwashers refrigeration machines clothes cooker hoods ,
443136,Online Original Design T-Shirt Sales,,t-shirts tshirts custom designed,
441544,Consulting Services,,operating counsel private nonprofit public organizations strategic planning financial budgeting marketing information systems evaluation human resources administrative general executive process consultants business support services,
1226,Knit Outerwear Mills,2253,knitting  yarns suits bathrobes beachwear blouses stockings caps collars cuffs dresses hats headwear housecoats jackets jerseys sweaters jogging leotards lounging lounge mufflers neckties pants scarves shawls shirts shoulderetes skirts slacks sweat bands coats t-shirts tops ties trousers warm-up wristlets apparel clothing knitted textiles,315191
1227,Knit Underwear and Nightwear Mills,2254,knitted knitting yarns gowns night negligees pajamas panties undershirts t-shirts slips union suits winter long apparel clothing textiles,315192
1228,"Knitting Mills, Not Elsewhere Classified",2259,knitted knit gloves outerwear underwear nightwear weft lace bags bagging bedspreads curtains dishcloths girdles foundation garments linings mittens stockinettes towels washcloths housewears textiles,"315191, 315192, 313241, 313249"
1229,Kosher Foods,,foods specialty mainstream ethnic  cookies chocolate confectionary snacks sugar crackers salty ,
1230,Labor Unions and Similar Labor Organizations,8631,membership organizations organized local national trade collective bargaining  ,813930
1231,Laboratory Analytical Instruments,3826,manufacturing instrumentation chemicals physical analysis solids fluids gaseous composites chromatographics spectrophotometmetrics mass spectrometers,334516
1232,Laboratory Apparatus and Furniture,3821,manufacturing baths melting point furnaces ovens components parts centrifuges industrial equipment machinery,339111
1233,Lace and Warp Knit Fabric Mills,2258,textile finishing  knitting dyeing finishing manufacturing bed sets curtains netting tricot textiles fabrics,"313249, 313312"
1234,"Laminated Plastics Plate, Sheet, and Profile Shapes",3083,sheets rubber plastics manufacturing,326130
1235,"Land Subdividers and Developers, Except Cemeteries",6552,subdivision development subdividing real property estate  construction residential single family houses condominiums apartment buildings retail shopping centers industrial plants warehouses office buildings schools prisons hospitals  renovation restoration parking garages rural urban suburban investment ,233110
1236,"Land, Mineral, Wildlife, and Forest Conservation",9512,recreational conservation preservation natural resources wind water erosion public lands forests game fish wildlife refugees  environmental forestry forests minerals,
1237,Landscape Counseling and Planning,781,architectural services counseling design parkways golf courses parks shopping malls private homes & businesses buildings roads walkways flowers shrubs trees streets  planning  construction ,"541320, 541690"
1238,"Laundries and Dry Cleaning, Coin Operated",7215,coin-operated cleaners drycleaning drycleaners cleaners  coin operated self service Laundromats  launderettes  consumer,812310
1239,"Laundry and Garment Services, Not Elsewhere Classified",7219,repair alterations storage hand laundries  diaper laundering pillow cleaning renovation tailors shops textile mending laundries ,"812331, 811490, 812399"
1240,Lawn and Garden,,gardens lawns vegetables ornamental flowers water berry berries herbs green goods chemicals hand tools soils & fertilizers accessories professional services  leisure & hobbies gardeners gardening,
443138,Online Event Ticket Sales,,live  shows road companies summer theaters presentations casting agencies booking plays artists concerts scenery lighting equipment tickets agencies producers television programs dinner entertainers dance dancers performing arts sports events entertainment media,
1242,Lawn and Garden Services,782,landscaping lawns gardens landscape sod laying mowing seeding mulching planting fertilizing spraying treating cemetery maintenance highway center strip  athletic fields golf courses turf ,561730
1243,Lawn and Garden Tractors and Home Lawn and Garden Equipment,3524,manufacturing mowers snow blowers throwers wagons carts grass catchers power hedge trimmers edgers loaders mulchers plow attachments rototillers seeders vacuums,"333112, 332212"
1244,Lead and Zinc Ores,1031,mining milling metals,212231
1245,"Lead Pencils, Crayons and Artists' Materials",3952,manufacturing leads airbrushes drawing tables boards palettes sketch boxes pantographs colors waxes artists pyrography goods inks drafting materials,337127 325998 339942
1246,Leather and Sheep-Lined Clothing,2386,furs leathers apparel manufacturing coats jackets hats pants skirts vests  apparel clothing,315292
1247,Leather Gloves and Mittens,3151,apparel accessories manufacturing clothing,315992
1248,"Leather Goods, Not Elsewhere Classified",3199,manufacturing saddlery harnesses whips embossed leathers strops belting belts desks accessories pets collars horses equestrian aprons leggings sleeves apparel clothing,316999
1249,Leather Tanning and Finishing,3111,hide  currying skins tanners finishers production process,316110
